省份,城市,区,街道,社区,道路,小区
重庆市,重庆市,大渡口区,,,石梁路300号,蜂窝坝村一社
重庆市,重庆市,大渡口区,,,农商银行(白沙沱分理处)北侧,小南海水泥厂生活区
重庆市,重庆市,大渡口区,,,跳蹬镇蜂窝坝,蜂林晓苑
重庆市,重庆市,大渡口区,,,跳南路与建安路交叉口西180米,建桥畔山E居
重庆市,重庆市,大渡口区,,,,蓝沁苑一期
重庆市,重庆市,大渡口区,,,石林大道2号,蓝沁苑
重庆市,重庆市,大渡口区,,,建祥路5号,蓝沁苑二期
重庆市,重庆市,大渡口区,,,跳蹬镇沙沱村伍家垭口,金鳌别院
重庆市,重庆市,大渡口区,,,跳磴镇金鳌村1社附45号,荷香苑
重庆市,重庆市,大渡口区,,,华福公路与拱新路交叉口北150米,拱桥雅居小区
重庆市,重庆市,大渡口区,,,跳磴街5栋,欣怡小区
重庆市,重庆市,大渡口区,,,华福大道西150米(跳磴地铁站4号口步行120米),幸福华庭D组团
重庆市,重庆市,大渡口区,,,跳磴镇福庭路3号(跳磴地铁站3号口步行210米),幸福华庭C组团
重庆市,重庆市,大渡口区,,,福庭路5号(跳磴地铁站3号口步行150米),幸福华庭一园
重庆市,重庆市,大渡口区,,,华岩国际新城(轨道5号线、18号线旁),金科中建集美阳光一期
重庆市,重庆市,大渡口区,,,益胜路309号(跳磴地铁站1A口步行440米),金科中建集美阳光
重庆市,重庆市,大渡口区,,,景雅路225号,金地自在城渝悦天境
重庆市,重庆市,大渡口区,,,景顺路68号,金地自在城渝悦天城
重庆市,重庆市,大渡口区,,,景雅路与福塘路交叉口东南120米,愉悦天境2期
重庆市,重庆市,大渡口区,,,景灿路132号(跳磴地铁站1A口步行240米),金科中建集美阳光二期
重庆市,重庆市,大渡口区,,,景灿路与华福大道中段交叉口东南120米,大渡口组团M分区
重庆市,重庆市,大渡口区,,,福塘路与景雅路交叉口东140米,渝悦天境dk
重庆市,重庆市,大渡口区,,,景雅路,金地自在城渝悦天域
重庆市,重庆市,大渡口区,,,油府路与长湾路交叉口西南280米,伏牛溪社区
重庆市,重庆市,大渡口区,,,跳磴镇伏牛溪,渝兰苑
重庆市,重庆市,大渡口区,,,伏牛溪长征厂,长征二村
重庆市,重庆市,大渡口区,,,祥福路与油府路交叉口东240米,联合一村
重庆市,重庆市,大渡口区,,,祥福路92号,竹园小区
